subID	 trial	 prime	 target	 response	 Acc	 RT
1001	 141	 organe	 question	 j	 1.000000	 0.520757
1001	 142	 excitation	 intérêt	 j	 1.000000	 0.466422
1001	 143	 tortue	 crabe	 f	 1.000000	 0.594364
1001	 144	 logiciel	 mari	 j	 1.000000	 0.592253
1001	 145	 vocabulaire	 démission	 j	 1.000000	 0.562364
1001	 146	 peinture	 cou	 j	 1.000000	 0.660023
1001	 147	 fenêtre	 cheminée	 j	 0.000000	 0.578004
1001	 148	 litchi	 coco	 f	 1.000000	 0.801832
1001	 149	 partage	 citron	 j	 1.000000	 0.601362
1001	 150	 lance-pierre	 ressort	 j	 1.000000	 0.739406
1001	 151	 douane	 passeport	 f	 1.000000	 0.547034
1001	 152	 agenda	 chauffage	 j	 1.000000	 0.538751
1001	 153	 atelier	 triche	 j	 1.000000	 0.632939
1001	 154	 religion	 croyance	 f	 1.000000	 0.550629
1001	 155	 recherche	 pyjama	 j	 1.000000	 0.522228
1001	 156	 barbe	 renard	 j	 1.000000	 0.750122
1001	 157	 hôpital	 clinique	 f	 1.000000	 0.585817
1001	 158	 parc	 lèvre	 j	 1.000000	 0.569970
1001	 159	 égoïste	 occupé	 j	 1.000000	 0.489979
1001	 160	 ouvrier	 palais	 j	 1.000000	 0.809628
1001	 161	 soie	 coton	 f	 1.000000	 0.617036
1001	 162	 affaiblir	 éplucher	 j	 1.000000	 0.520859
1001	 163	 air	 espace	 j	 1.000000	 0.634806
1001	 164	 zèbre	 léopard	 f	 1.000000	 0.720528
1001	 165	 grenouille	 poète	 j	 1.000000	 0.796262
1001	 166	 miel	 loyer	 j	 1.000000	 0.454189
1001	 167	 araignée	 fourmi	 f	 1.000000	 0.278277
1001	 168	 solitude	 tante	 j	 1.000000	 0.708127
1001	 169	 match	 client	 j	 1.000000	 0.520714
1001	 170	 collier	 bague	 f	 1.000000	 0.467731
1001	 171	 carte	 blocage	 j	 1.000000	 0.573622
1001	 172	 patron	 champignon	 j	 1.000000	 0.555425
1001	 173	 vidéo	 maire	 j	 1.000000	 0.577488
1001	 174	 travail	 étude	 j	 0.000000	 0.520687
1001	 175	 précaution	 rappel	 j	 1.000000	 1.099460
1001	 176	 gingembre	 voix	 j	 1.000000	 0.414988
1001	 177	 ange	 démon	 f	 1.000000	 0.413041
1001	 178	 amande	 noix	 f	 1.000000	 0.387180
1001	 179	 confiture	 aéroport	 j	 1.000000	 0.457355
1001	 180	 ordinateur	 fidélité	 j	 1.000000	 0.445185
