fileID	trigTimes	family	condition	question 	qFile1	qFile2	repCorr
C501	2.370	01	5				
C502	2.803	02	5				
C503	5.172	03	5				
C504	5.106	04	5				
C505	8.075	05	5				
C506	3.237	06	5				
C508	4.739	08	5				
C509	2.970	09	5				
C510	1.669	10	5				
C511	2.636	11	5				
C512	2.770	12	5				
C513	3.003	13	5				
C515	2.603	15	5				
C516	2.870	16	5				
C517	3.838	17	5				
C518	2.370	18	5				
C519	1.602	19	5				
C520	5.473	20	5				
C521	3.070	21	5				
C522	3.671	22	5				
C523	2.203	23	5				
C524	4.472	24	5				
C525	2.703	25	5				
C526	3.304	26	5				
C527	5.906	27	5				
C528	3.137	28	5				
C529	2.203	29	5				
C530	5.606	30	5				
C531	2.570	31	5				
C532	0.935	32	5				
C533	3.204	33	5				
C534	1.602	34	5				
C535	1.702	35	5				
C536	1.969	36	5				
C537	3.070	37	5				
C538	9.744	38	5				
C539	2.803	39	5				
C540	2.570	40	5				
C541	3.471	41	5				
C542	2.503	42	5				
C543	2.670	43	5				
C544	3.037	44	5				
C545	2.002	45	5				
C546	3.704	46	5				
C547	3.003	47	5				
C548	4.071	48	5				
C549	3.404	49	5				
C550	3.871	50	5				
C551	2.036	51	5				
C552	3.537	52	5				
C553	3.738	53	5				
C554	4.171	54	5				
C555	3.671	55	5				
C556	3.170	56	5				
C557	5.840	57	5				
C558	3.537	58	5				
C559	1.869	59	5				
C560	2.536	60	5				
